ASIN,Category,Product Link,No of Seller,Rank,Rating,Reviews Count,Price,Quantity
B085WSCTS4,Electronics,https://www.amazon.com/gp/offer-listing/B085WSCTS4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,76,4.5,"3,695",$19.99 ,157
B074JT3698,Electronics,https://www.amazon.com/gp/offer-listing/B074JT3698/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,77,4.5,"10,583",$19.99 ,157
B085TC9N3K,Electronics,https://www.amazon.com/gp/offer-listing/B085TC9N3K/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,78,4.7,"4,044",$19.99 ,157
B08J65DST5,Electronics,https://www.amazon.com/gp/offer-listing/B08J65DST5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,6,79,4.9,"44,087",$19.99 ,157
B08F6L6HVP,Electronics,https://www.amazon.com/gp/offer-listing/B08F6L6HVP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,80,4.5,"1,228",$19.99 ,157
B08YSYKBLV,Electronics,https://www.amazon.com/gp/offer-listing/B08YSYKBLV/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,81,4.8,"78,639",$20.00 ,387
B08ZN7QCRP,Electronics,https://www.amazon.com/gp/offer-listing/B08ZN7QCRP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,82,4.4,"54,100",$20.00 ,390
B07F981R8M,Electronics,https://www.amazon.com/gp/offer-listing/B07F981R8M/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,15,83,4.6,"55,688",$20.00 ,393
B08YMBQJ49,Electronics,https://www.amazon.com/gp/offer-listing/B08YMBQJ49/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,85,4.9,"1,575",$20.00 ,396
B07CCGBB7M,Electronics,https://www.amazon.com/gp/offer-listing/B07CCGBB7M/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,86,4.7,"34,176",$20.70 ,399
B07GPFDL1K,Electronics,https://www.amazon.com/gp/offer-listing/B07GPFDL1K/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,4,87,4.5,"17,939",$20.99 ,402
B07N4DHFZM,Electronics,https://www.amazon.com/gp/offer-listing/B07N4DHFZM/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,88,4.2,"17,011",$21.99 ,405
B07D25RSWX,Electronics,https://www.amazon.com/gp/offer-listing/B07D25RSWX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,7,89,4.8,"35,734",$21.99 ,408
B08F6FYN6B,Electronics,https://www.amazon.com/gp/offer-listing/B08F6FYN6B/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,90,4.5,484,$21.99 ,411
B001E1Y5O6,Electronics,https://www.amazon.com/gp/offer-listing/B001E1Y5O6/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,5,91,4.8,"21,563",$21.99 ,414
B08BNVQDWT,Electronics,https://www.amazon.com/gp/offer-listing/B08BNVQDWT/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,92,4.6,"43,363",$22.86 ,417
B072M34RQC,Electronics,https://www.amazon.com/gp/offer-listing/B072M34RQC/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,25,93,4.7,"23,209",$23.13 ,420
B01171X0UW,Electronics,https://www.amazon.com/gp/offer-listing/B01171X0UW/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,17,94,4.5,"39,606",$23.35 ,423
B08J5Q255V,Electronics,https://www.amazon.com/gp/offer-listing/B08J5Q255V/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,5,95,4.9,"44,087",$23.99 ,426
B0758L64L9,Electronics,https://www.amazon.com/gp/offer-listing/B0758L64L9/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,96,4.6,"23,741",$24.49 ,429
B08N5LNQCX,Electronics,https://www.amazon.com/gp/offer-listing/B08N5LNQCX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,5,97,4.8,"6,599",$24.99 ,432
